issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/committees/,https://government.se/how-sweden-is-governed/committees/,403,false,false,34626,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/general-elections-and-referendums/,https://government.se/how-sweden-is-governed/general-elections-and-referendums/,403,false,false,34823,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/public-agencies-and-how-they-are-governed/,https://government.se/how-sweden-is-governed/public-agencies-and-how-they-are-governed/,403,false,false,34622,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/state-owned-enterprises/,https://government.se/how-sweden-is-governed/state-owned-enterprises/,403,false,false,35181,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,161,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/swedish-legislation---how-laws-are-made/,https://government.se/how-sweden-is-governed/swedish-legislation---how-laws-are-made/,403,false,false,34634,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/the-constitution/,https://government.se/how-sweden-is-governed/the-constitution/,403,false,false,34793,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/the-principle-of-public-access-to-official-documents/,https://government.se/how-sweden-is-governed/the-principle-of-public-access-to-official-documents/,403,false,false,34698,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/how-sweden-is-governed/the-swedish-model-of-government-administration/,https://government.se/how-sweden-is-governed/the-swedish-model-of-government-administration/,403,false,false,34749,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/press-room/government-offices-press-information-officers/,https://government.se/press-room/government-offices-press-information-officers/,403,false,false,34618,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/press-room/ministry-for-foreign-affairs-press-office/,https://government.se/press-room/ministry-for-foreign-affairs-press-office/,403,false,false,34929,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
